watch result all time - 16369ms 
=====================>100.00 % |  16369 ms | InvoiceController.createInvoiceV5
==========================================>0.35 % |  57 ms | InvoiceServiceImpl.selectSimpleByInvoiceOID:a554e733-490e-487b-8a73-b340ed05faca
=================================================>0.35 % |  57 ms | ExpenseService.getSimpleByInvoiceOID:a554e733-490e-487b-8a73-b340ed05faca
========================================================>0.35 % |  57 ms | ExpenseMapper.getSimpleByInvoiceOIDs:SingletonList@53ff35a2
==========================================>1.63 % |  266 ms | ReceiptLabelServiceImpl.recalculateReceiptLabels:InvoiceUserContext@54bab819,Invoice@672d0e9b,ArrayList@1cf173ef,ArrayList@6eb81ad3,true,HashSet@22633257
=================================================>0.07 % |  11 ms | ReceiptCheckService.getByCompanyId:1798976149913948162,1798976097732612098
========================================================>0.07 % |  11 ms | ReceiptCheckMapper.getTenantAndCompanyOpt:1798976149913948162,1798976097732612098,true
=================================================>1.53 % |  250 ms | InvoiceLabelServiceImpl.extendsReceiptLabels:1946130299251605505,zh_CN
========================================================>1.37 % |  225 ms | ExpenseMapper.selectByIds:SingletonList@772306bc
========================================================>0.15 % |  24 ms | EntityLabelServiceImpl.removeEntityLabels:1946130299251605505,ArrayList@37279fda,LabelCategory@3fb0b9ef,1798976097732612098
===============================================================>0.07 % |  12 ms | LabelServiceImpl.selectSpecialLabelByTenantIdAndTypes:ArrayList@5ab52f9a,1798976097732612098
======================================================================>0.07 % |  12 ms | LabelMapper.selectCommonLabelByTypes:ArrayList@5ab52f9a
===============================================================>0.07 % |  12 ms | EntityLabelMapper.selectEntityLabelIds:SingletonList@18c31fa,2,ArrayList@5f2a1318,null
===================================>0.24 % |  39 ms | DeductionOptServiceImpl.checkDeductionAndNonDeductionCoexist:DeductionOpt@3e14f02e,1798626251100164172,1798976097732612098
==========================================>0.12 % |  19 ms | BaseBOProcessorImpl.selectFirstEntity:DeductionOptExpenseTypeSearchCommand@107e0edb
=================================================>0.12 % |  19 ms | DeductionOptExpenseTypeMapper.selectBySearchCommand:DeductionOptExpenseTypeSearchCommand@107e0edb,Page@2c25316b
