=================================================>0.08 % |  13 ms | OverdueERLLabelCalImpl.compute:31548662,LabelProcessPoint@4436d697,LabelCalculatorExtendParam@4ba0eb4f
========================================================>0.07 % |  11 ms | EntityLabelServiceImpl.selectInvoiceEntityLabels:c3b24448-7780-4c45-bb2f-963d2d7a156b,SingletonList@41802fdd,EntityLabelSearchContext@45bfed6a
===============================================================>0.07 % |  11 ms | EntityLabelMapper.selectInvoiceLabelByReportOID:c3b24448-7780-4c45-bb2f-963d2d7a156b,2,ArrayList@72860d23
=================================================>0.06 % |  10 ms | EntityLabelServiceImpl.removeEntityLabelBatchWithOriLabelType:ArrayList@1c203e14,LabelType@5a96163a,LabelCategory@1281230a
========================================================>0.06 % |  10 ms | EntityLabelMapper.selectIdsWithOriLabel:ArrayList@1c203e14,1,SingletonList@6e6c9457
=================================================>0.07 % |  11 ms | MaybeNonOriginalReceiptERLabelCalImpl.compute:31548662,LabelProcessPoint@4436d697,LabelCalculatorExtendParam@4ba0eb4f
========================================================>0.06 % |  10 ms | EntityLabelServiceImpl.selectInvoiceEntityLabels:c3b24448-7780-4c45-bb2f-963d2d7a156b,SingletonList@4d04bd0d,EntityLabelSearchContext@5890ed73
===============================================================>0.06 % |  10 ms | EntityLabelMapper.selectInvoiceLabelByReportOID:c3b24448-7780-4c45-bb2f-963d2d7a156b,2,ArrayList@7c6b0adc
=================================================>0.07 % |  11 ms | EntityLabelServiceImpl.removeEntityLabelBatchWithOriLabelType:ArrayList@caeedc,LabelType@1f2ca051,LabelCategory@1281230a
========================================================>0.07 % |  11 ms | EntityLabelMapper.selectIdsWithOriLabel:ArrayList@caeedc,1,SingletonList@4d5a1c42
=================================================>0.06 % |  10 ms | AttachmentInfoNotAgreeERLabelCalImpl.compute:31548662,LabelProcessPoint@4436d697,LabelCalculatorExtendParam@4ba0eb4f
========================================================>0.06 % |  10 ms | EntityLabelServiceImpl.selectInvoiceEntityLabels:c3b24448-7780-4c45-bb2f-963d2d7a156b,SingletonList@be16529,EntityLabelSearchContext@faae847
===============================================================>0.06 % |  10 ms | EntityLabelMapper.selectInvoiceLabelByReportOID:c3b24448-7780-4c45-bb2f-963d2d7a156b,2,ArrayList@3ba6341e
=================================================>2.37 % |  388 ms | ReportService.save:ExpenseReport@5343de3a
========================================================>0.20 % |  32 ms | DocumentServiceImpl.updateDocumentDTO:DocumentDTO@2d7eda2d
===============================================================>0.07 % |  11 ms | DocumentMapper.selectByEntityOIDAndEntityType:c3b24448-7780-4c45-bb2f-963d2d7a156b,1002
===============================================================>0.12 % |  20 ms | BaseMapper.updateAllColumnById:Document@2757c856
========================================================>0.12 % |  19 ms | BaseMapper.updateAllColumnById:ExpenseReport@5343de3a
==========================================>0.06 % |  10 ms | EntityLabelServiceImpl.removeEntityLabelBatchWithOriLabelType:ArrayList@7c922d9e,LabelType@613df89b,LabelCategory@1281230a
=================================================>0.06 % |  10 ms | EntityLabelMapper.selectIdsWithOriLabel:ArrayList@7c922d9e,1,SingletonList@421b430e
==========================================>0.13 % |  21 ms | ERHuaBeiLabelCalculator.compute:31548662,LabelProcessPoint@2cd414eb,LabelCalculatorExtendParam@15760d8a
=================================================>0.07 % |  11 ms | ExpenseReportInvoiceMapper.findByExpenseReportID:31548662
=================================================>0.06 % |  10 ms | InvoiceLabelServiceImpl.findByInvoiceIds:ArrayList@64a1f9d2
========================================================>0.06 % |  10 ms | EntityLabelServiceImpl.selectEntityLabels:ArrayList@64a1f9d2,LabelCategory@3fb0b9ef,EntityLabelSearchContext@582540df
===============================================================>0.06 % |  10 ms | EntityLabelMapper.selectEntityLabels:ArrayList@64a1f9d2,2
==========================================>0.07 % |  11 ms | DiDiInvoiceAmountOverLabelCalImpl.isDelete:31548662,LabelProcessPoint@2cd414eb,LabelCalculatorExtendParam@15760d8a
=================================================>0.07 % |  11 ms | EntityLabelServiceImpl.removeEntityLabelBatchWithOriLabelType:SingletonList@5249b1d6,LabelType@5810e26f,LabelCategory@1281230a
========================================================>0.07 % |  11 ms | EntityLabelMapper.selectIdsWithOriLabel:SingletonList@5249b1d6,1,SingletonList@36747cf2
==========================================>0.13 % |  21 ms | DiDiInvoiceAmountOverLabelCalImpl.compute:31548662,LabelProcessPoint@2cd414eb,LabelCalculatorExtendParam@15760d8a
=================================================>0.07 % |  11 ms | InvoiceServiceImpl.findIdsByReportIds:SingletonList@54ebc225
========================================================>0.07 % |  11 ms | ExpenseMapper.selectIdsByReportIdIn:SingletonList@54ebc225
=================================================>0.06 % |  10 ms | EntityLabelServiceImpl.selectEntityLabels:ArrayList@5db6e4c0,LabelCategory@3fb0b9ef,EntityLabelSearchContext@81bf485
========================================================>0.06 % |  10 ms | EntityLabelMapper.selectEntityLabels:ArrayList@5db6e4c0,2
==========================================>0.07 % |  11 ms | EntityLabelServiceImpl.removeEntityLabelBatchWithOriLabelType:ArrayList@37c85456,LabelType@1ff6dbd6,LabelCategory@1281230a
=================================================>0.07 % |  11 ms | EntityLabelMapper.selectIdsWithOriLabel:ArrayList@37c85456,1,SingletonList@639a0d02
==========================================>0.18 % |  30 ms | GoodsServiceNameERLLabelCalImpl.compute:31548662,LabelProcessPoint@2cd414eb,LabelCalculatorExtendParam@15760d8a
=================================================>0.12 % |  19 ms | ReportService.selectById:31548662
========================================================>0.12 % |  19 ms | ReportBaseService.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@5323c1c4
===============================================================>0.12 % |  19 ms | ExpenseReportMPMapper.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@25dcfb8e
